turn,x_m,xp_rad,y_m,yp_rad,z_m,dE_GeV,action_x,action_x_normalised
1151.0,0.006254007500955145,-0.0011706896051625186,3.337645973066626e-14,2.1148581908281216e-14,3.9459238330481443,-3.7841718997332022e-06,6.834866384200252e-06,1.2456532183638576
1152.0,-0.009789227457393397,0.0008127077412739779,2.8115525810886186e-13,2.6742326565658755e-15,3.9105611399155187,-3.8013382854971463e-06,7.856210387918334e-06,1.4317929866889587
1153.0,0.0019115700326798573,0.0005678682013844735,2.8764106152711643e-13,-1.8214767113077653e-14,3.8797358740310046,-3.818369356050174e-06,7.667890326674801e-06,1.3974716880440061
1154.0,0.007022653815852435,-0.0011888665878549277,8.291968272104566e-14,-2.570215261662241e-14,3.8436189704422357,-3.835241882425672e-06,6.857641548034155e-06,1.2498039880400647
1155.0,-0.009467221804462179,0.0006941275432627869,-2.0375184900017984e-13,-1.227364487580124e-14,3.8074547584763563,-3.851955656951694e-06,7.840341974725711e-06,1.4289009711245564
1156.0,0.0006964367063637789,0.0007097240940876062,-3.2073546888666137e-13,9.805044417428469e-15,3.776185531812912,-3.8685321673899695e-06,7.813537629588882e-06,1.4240158838515982
1157.0,0.00784996684351031,-0.0011940468157564713,-2.0677673467981528e-13,2.5318922839667626e-14,3.7399960599928206,-3.884949815094323e-06,6.932288949340316e-06,1.2634084640389613
1158.0,-0.008940622163011579,0.0005429230396184583,7.62727021270044e-14,2.034061547638432e-14,3.7029993187223336,-3.901205056353684e-06,7.84967723055654e-06,1.4306023198878333
1159.0,-0.0007521807659466957,0.0008649563775825834,2.956138292909557e-13,1.2650301744138572e-15,3.6712450942803776,-3.9173209045063014e-06,8.01922051057871e-06,1.4615015533973252
1160.0,0.008652615476193668,-0.001175227203022967,2.8934682643301055e-13,-1.8466614120872997e-14,3.6350844125786206,-3.933278016306418e-06,7.06019526985887e-06,1.2867193688682528
1161.0,-0.008138288620532917,0.00035709517205671066,8.954595799977882e-14,-2.4969198501831545e-14,3.5972491809690306,-3.949069040898577e-06,7.87455780460036e-06,1.4351368002112628
1162.0,-0.0024041341970004555,0.0010228086196363317,-1.6414748590847578e-13,-1.4562581921739172e-14,3.564938666625959,-3.964718230410398e-06,8.26907014523492e-06,1.5070366061726048
1163.0,0.009321921952961425,-0.0011198660859321984,-3.083700941476397e-13,5.405286281615391e-15,3.5289092717978012,-3.980209259886273e-06,7.229126258318543e-06,1.3175070123462025
1164.0,-0.006989976126879806,0.00013703888403978303,-2.407680759706087e-13,2.1647520627683735e-14,3.4902645665137753,-3.995530648767127e-06,7.889822838068366e-06,1.4379188499250375
