turn,n_macroparticles,intensity,epsn_x,epsn_y,eps_z,mean_x_m,mean_y_m,mean_z_m
9700.0,1000.0,1950000000.0,6.458819059270346e-07,5.193303794284028e-07,4.943112926759771e-06,0.00043085784084180464,-1.75150338891839e-05,-0.08622793196057053
9800.0,1000.0,1950000000.0,6.418314179976629e-07,5.230829983308363e-07,4.943928767369939e-06,3.0044031876427657e-05,-0.0001215403561801893,-0.0703026399351307
9900.0,1000.0,1950000000.0,6.621970005951015e-07,5.111905613008064e-07,4.944523696605413e-06,0.00021865455319994097,-0.0003125897527400668,-0.027645776953571264
10000.0,1000.0,1950000000.0,6.573308751044142e-07,5.21048035410781e-07,4.944869508635259e-06,-0.00029912221882359545,0.0003181880076665474,0.025498539999097385
10100.0,1000.0,1950000000.0,6.649365832994333e-07,5.195723331410971e-07,4.9449146540686815e-06,0.0002692219902036272,0.000226466941695275,0.0688456250156328
10200.0,1000.0,1950000000.0,6.650847981183679e-07,5.181648459404198e-07,4.944535336625977e-06,5.1183189611678485e-05,9.683174415579812e-05,0.08587076916416707
10300.0,1000.0,1950000000.0,6.56664229505137e-07,5.278006965403743e-07,4.944030625126894e-06,0.00019971900569600194,-4.2995577514467235e-05,0.07017711979377403
10400.0,1000.0,1950000000.0,6.701572087549598e-07,5.195773791784799e-07,4.9438854983181785e-06,-3.711695099069035e-05,9.35735027056831e-05,0.027790639998289336
10500.0,1000.0,1950000000.0,6.751939358673217e-07,5.2162874098888e-07,4.94404130995958e-06,4.759142832756781e-05,3.719581413914617e-05,-0.025324008862170098
10600.0,1000.0,1950000000.0,6.663324436594499e-07,5.217266072729305e-07,4.944148582763025e-06,8.879431409218662e-05,-0.00017420238902418102,-0.06881591790625975
10700.0,1000.0,1950000000.0,6.620906388644165e-07,5.316841633869929e-07,4.944785175174116e-06,0.00018492097070105628,-4.314732106784869e-05,-0.08598794576439532
10800.0,1000.0,1950000000.0,6.533459968693879e-07,5.333438010094811e-07,4.945479035119996e-06,-0.0005304805529476132,-0.00022050618941130587,-0.07063304925709832
10900.0,1000.0,1950000000.0,6.617232889584913e-07,5.224774609097964e-07,4.9464411715641215e-06,0.00031586330947109875,-2.0178919042233035e-05,-0.028064895112349088
11000.0,1000.0,1950000000.0,6.549788208888912e-07,5.340961121130556e-07,4.9469963152167715e-06,2.989095226570746e-05,0.0002934244318729896,0.02510401563768595
11100.0,1000.0,1950000000.0,6.630236285892953e-07,5.276724210978917e-07,4.946681259943187e-06,-9.36014207027306e-05,5.05266991312675e-05,0.06850750855758969
11200.0,1000.0,1950000000.0,6.682964648614329e-07,5.314123205447542e-07,4.945736233615223e-06,-0.000305321493545242,1.7216866420393014e-05,0.08589048566899185
